iter	Passed	Remaining
370	3538	5998
371	3547	5988
372	3556	5977
373	3564	5966
374	3573	5956
375	3582	5945
376	3592	5936
377	3600	5924
378	3609	5914
379	3618	5903
380	3627	5893
381	3636	5883
382	3645	5872
383	3654	5861
384	3663	5852
385	3672	5841
386	3681	5831
387	3690	5821
388	3700	5811
389	3709	5801
390	3717	5790
391	3726	5780
392	3735	5769
393	3744	5759
394	3753	5748
395	3761	5737
396	3770	5726
397	3779	5716
398	3788	5706
399	3797	5695
400	3806	5685
401	3815	5675
402	3824	5665
403	3832	5654
404	3842	5645
405	3851	5635
406	3860	5625
407	3870	5615
408	3878	5604
409	3887	5594
410	3897	5585
